name;mass;orbital_period
11 Oph b;21.0;730000.0
14 Her b;9.1;1763.3
14 Her c;6.9;52596.0
2M 1938+46 b;1.9;416.0
2M 2140+16 b;20.0;7340.0
2M 2206-20 b;30.0;8686.0
2M1059-21 b;66.95;690.0
2M1510A a;40.0;20.902
2M1510A b;39.3;20.902
2MASS J00413538-5621127 B;15.0;126.0
2MASS J06023447-0034369 b;1.1;3.0525
2MASS J15344984-2952274 B;28.2;5550.0
51 Eri b;2.6;10260.0
51 Peg b;0.47;4.2308
55 Cnc b;0.84;14.65314
55 Cnc e;0.02703;0.7365478
AD 3116 b;54.2;1.982796
ASASSN-16kr b;42.0;0.061285932
ASASSN-17jf b;60.0;0.0567904
AU Mic b;0.053;8.462991
AU Mic c;0.0463;18.858991
BD+20 594 b;0.07;41.6855
CD Cet b;0.01244;2.2907
CI Tau b;11.6;8.9891
CoRoT-1 b;1.03;1.5089557
CoRoT-10 b;2.75;13.2406
CoRoT-11 b;2.33;2.994325
CoRoT-12 b;0.917;2.828042
CoRoT-13 b;1.308;4.03519
CoRoT-14 b;7.6;1.51214
CoRoT-15 b;63.4;3.06036
CoRoT-16 b;0.535;5.35227
CoRoT-17 b;2.43;3.768125
CoRoT-18 b;3.47;1.9000693
CoRoT-19 b;1.11;3.89713
CoRoT-2 b;3.31;1.7429964
CoRoT-20 b;4.24;9.24285
CoRoT-21 b;2.26;2.72474
CoRoT-22 b;0.06;9.75598
CoRoT-23 b;2.8;3.6314
CoRoT-24 b;0.018;5.1134
CoRoT-24 c;0.088;11.759
CoRoT-25 b;0.27;4.86069
CoRoT-26 b;0.52;4.20474
CoRoT-27 b;10.39;3.57532
CoRoT-29 b;0.85;2.85057
CoRoT-3 b;21.66;4.2567994
CoRoT-30 b;2.9;9.06005
CoRoT-31 b;0.84;4.62941
CoRoT-32 b;0.15;6.71837
CoRoT-33 b;59.2;5.819143
CoRoT-4 b;0.72;9.20205
CoRoT-5 b;0.467;4.0378962
CoRoT-6 b;2.96;8.886593
CoRoT-7 b;0.0149;0.853585
CoRoT-7 c;0.04266;3.698
CoRoT-8 b;0.2158;6.21229
CoRoT-9 b;0.84;95.273804
DENIS-P J082303.1-491201 b;28.5;246.36
DP Leo (AB) b;6.05;10230.0
DS Tuc A b;0.088;8.138268
EPIC 201295312 b;0.0379;5.65639
EPIC 205084841 b;0.3883;11.310099
EPIC 211442297 b;0.84;20.273034
EPIC 211945201 b;0.085;19.49221
EPIC 212036875 b;51.0;5.16992
EPIC 212737443 b;0.02907;13.603
EPIC 212737443 c;0.0303;65.55
EPIC 219388192 b;36.0;5.292569
EPIC 220674823 b;0.0263;0.571331
EPIC 220674823 c;0.018;13.339079
EPIC 246193072 b;0.26;12.4551225
EPIC 246851721 b;3.0;6.180235
EPIC 249893012 b;0.02753;3.5951
EPIC 249893012 c;0.04616;15.624
EPIC 249893012 d;0.03203;35.747
