# name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff;method;star_name
11 Com b;;326.03;2008;;1.29;110.6;4742.0;Radial Velocity;11 Com
11 Oph b;21.0;730000.0;2007;;243.0;145.0;2375.0;Imaging;11 Oph
11 UMi b;;516.22;2009;;1.54;119.5;4340.0;Radial Velocity;11 UMi
14 And b;;185.84;2008;;0.83;76.4;4813.0;Radial Velocity;14 And
14 Her b;9.1;1763.3;2002;;2.845;18.1;5311.0;Radial Velocity;14 Her
14 Her c;6.9;52596.0;2006;;27.4;18.1;5311.0;Radial Velocity;14 Her
16 Cyg B b;;799.5;1996;;1.68;21.41;5766.0;Radial Velocity;16 Cyg B
17 Sco b;;578.38;2020;;1.45;116.0;4157.0;Radial Velocity;17 Sco
18 Del b;;993.3;2008;;2.6;73.1;4979.0;Radial Velocity;18 Del
1I/'Oumuamua;;;2017;2,00E-06;;;;Imaging;Sun
1RXS 1609 b;14.0;;2008;1.7;330.0;145.0;4060.0;Imaging;1RXS 1609
1RXS J235133.3+312720 b;32.0;;2012;;120.0;;;Imaging;1RXS J235133.3+312720
1SWASP J1407 b;;3725.0;2012;;3.9;133.0;4400.0;Primary Transit;1SWASP J1407
24 Boo b;;30.3506;2018;;0.19;100.0;4893.0;Radial Velocity;24 Boo
24 Sex b;;452.8;2010;;1.333;72.2084;5098.0;Radial Velocity;24 Sex
24 Sex c;;883.0;2010;;2.08;72.2084;5098.0;Radial Velocity;24 Sex
2I/Borisov;;;2019;6.2e-05;;;;Imaging;Sun
2M 0103-55 (AB) b;13.0;;2013;;84.0;47.2;;Imaging;2M 0103-55 (AB)
2M 0219-39 b;13.9;;2015;1.44;156.0;39.4;3064.0;Imaging;2M 0219-39
2M 0441+23 b;7.5;;2010;;15.0;140.0;;Imaging;2M 0441+23
2M 1938+46 b;1.9;416.0;2015;;0.92;;;Timing;2M 1938+46
2M 2140+16 b;20.0;7340.0;2010;0.92;3.53;25.0;2300.0;Imaging;2M 2140+16
2M 2206-20 b;30.0;8686.0;2010;1.3;4.48;26.67;2350.0;Imaging;2M 2206-20
2M 2236+4751 b;12.5;;2016;;230.0;63.0;;Imaging;2M 2236+4751
2M J2126-81 b;13.3;;2016;;6900.0;24.75;;Imaging;TYC 9486-927-1
2M0045+16;25.0;;2019;;;15.4;;Imaging;
2M0117-34;16.4;;2019;;;39.02;;Imaging;
2M0437 b;4.0;;2021;;118.0;128.1;3100.0;Imaging;2M0437
2M0838+15 b;;;2013;;27.0;49.0;;Imaging;2M0838+15
2M0838+15 c;;;2013;;27.0;49.0;;Imaging;2M0838+15
2M1059-21 b;66.95;690.0;2020;;0.8;31.81;;Astrometry;2M1059-21
2M1207 A;60.0;;2004;;42.0;52.4;;Imaging;
2M1207 b;5.0;;2004;;42.0;52.4;;Imaging;
2M1510A a;40.0;20.902;2020;1.57;0.063;36.6;;Primary Transit;
2M1510A b;39.3;20.902;2020;1.57;0.063;36.6;;Primary Transit;
2MASS 0359+2009 b;20.0;;2019;;540.0;117.76;2900.0;Imaging;2MASS 0359+2009
2MASS J00413538-5621127 A;30.0;;2009;;;34.7133;;Imaging;
2MASS J00413538-5621127 B;15.0;126.0;2010;;8.9;34.7133;;Imaging;
2MASS J01225093-2439505 b;24.5;;2013;;52.0;36.0;3530.0;Imaging;2MASS J01225093-2439505
2MASS J0249-0557 (AB) c;11.6;;2018;;;48.9;;Astrometry;
2MASS J0249-0557A;48.0;;2018;;;48.9;;Astrometry;
2MASS J0249-0557B;44.0;;2018;;;48.9;;Astrometry;
2MASS J0348-6022;43.0;;2021;0.91;;9.0;;Imaging;
2MASS J0407+1546;67.0;;2021;0.97;;36.4421;;Imaging;
2MASS J06023447-0034369 b;1.1;3.0525;2021;1.3;;;;Primary Transit;2MASS J06023447-0034369
2MASS J10475385+2124234;42.0;;1999;;;10.56;;Imaging;
2MASS J11011926-7732383 A;50.0;;2004;;;168.0;;Imaging;
2MASS J11011926-7732383 B;30.0;;2004;;240.0;168.0;;Imaging;
2MASS J1119-1137 b;3.7;32850.0;2017;;;;;Imaging;2MASS J1119-1137
2MASS J1155-7919 b;10.0;;2020;;582.0;101.15;;Imaging;2MASS J1155-7919
2MASS J1219+3128;49.0;;2021;0.97;;19.0;;Imaging;
2MASS J1450-7841 A;40.0;;2017;;300.0;75.0;;Imaging;2MASS J1450-7841 B
2MASS J1450-7841 B;40.0;;2017;;300.0;75.0;;Imaging;2MASS J1450-7841 A
2MASS J15344984-2952274 A;30.1;;2008;;;15.9;;Astrometry;
2MASS J15344984-2952274 B;28.2;5550.0;2008;;2.3;15.9;;Astrometry;
2MASS J155947+440359 b;43.0;;2012;;1101.23;44.76;;Imaging;2MASS J155947+440359
2MASS J2250+2325 b;30.0;;2017;;518.0;41.5;;Imaging;2MASS J2250+2325
2MASSW J2208136+292121;10.0;;2000;;;50.0;;Imaging;
3 Cnc b;;853.64;2020;;2.52;243.3;4319.0;Radial Velocity;3 Cnc
38 Vir b;;825.9;2016;;1.82;;6557.0;Primary Transit;38 Vir
4 Uma b;;269.3;2007;;0.87;78.5;4415.0;Radial Velocity;4 Uma
42 Dra b;;479.1;2009;;1.19;97.3;4200.0;Radial Velocity;42 Dra
44 Uma b;;785.74;2020;;2.16;200.4;4215.0;Radial Velocity;44 Uma
47 Uma b;;1078.0;1996;;2.1;13.97;5892.0;Radial Velocity;47 Uma
47 Uma c;;2391.0;2001;;3.6;13.97;5892.0;Radial Velocity;47 Uma
47 Uma d;;14002.0;2010;;11.6;13.97;5892.0;Radial Velocity;47 Uma
51 Eri b;2.6;10260.0;2015;1.11;11.1;29.4;;Imaging;51 Eri
51 Peg b;0.47;4.2308;1995;1.9;0.052;14.7;5793.0;Radial Velocity;51 Peg
55 Cnc b;0.84;14.65314;1996;;0.11339;12.34;5196.0;Radial Velocity;55 Cnc
55 Cnc c;;44.373;2002;;0.23735;12.34;5196.0;Radial Velocity;55 Cnc
55 Cnc d;;4867.0;2002;;5.446;12.34;5196.0;Radial Velocity;55 Cnc
55 Cnc e;0.02703;0.7365478;2004;0.1737;0.015439;12.34;5196.0;Primary Transit;55 Cnc
55 Cnc f;;260.91;2007;;0.7733;12.34;5196.0;Radial Velocity;55 Cnc
6 Lyn b;;934.3;2008;;2.11;56.9;4978.0;Radial Velocity;6 Lyn
61 Vir b;;4.215;2009;;0.050201;8.52;5531.0;Radial Velocity;61 Vir
61 Vir c;;38.021;2009;;0.2175;8.52;5531.0;Radial Velocity;61 Vir
61 Vir d;;123.01;2009;;0.476;8.52;5531.0;Radial Velocity;61 Vir
7 CMA c;;988.9;2019;;2.143;19.75;4792.0;Radial Velocity;7 CMa
7 CMa b;;736.9;2011;;1.761;19.75;4792.0;Radial Velocity;7 CMa
70 Vir b;;116.67;1996;;0.48;22.0;5432.0;Radial Velocity;70 Vir
75 Cet b;;691.9;2012;;2.1;81.5;4846.0;Radial Velocity;75 Cet
8 Umi b;;93.4;2015;;0.49;159.1;4847.4;Radial Velocity;8 Umi
81 Cet b;;952.7;2008;;2.5;97.2;;Radial Velocity;81 Cet
91 Aqr b;;181.4;2003;;0.7;45.9;4665.0;Radial Velocity;91 Aqr
AB Dor C b;13.0;;2019;;0.58;15.8;;Imaging;AB Dor C
AB Pic b;13.5;;2005;;275.0;47.3;5285.0;Imaging;AB Pic
AD 3116 b;54.2;1.982796;2017;1.02;;186.54;3200.0;Primary Transit;AD 3116
AS 205 A b;;24.84;2017;;0.162;140.0;4300.0;Radial Velocity;AS 205A
ASASSN-16kr b;42.0;0.061285932;2021;1.05;0.003;160.5;;Default;ASASSN-16kr
ASASSN-17jf b;60.0;0.0567904;2021;1.12;0.0026;286.0;;Default;ASASSN-17jf
AU Mic b;0.053;8.462991;2020;0.3908;0.0645;9.79;3700.0;Primary Transit;AU Mic
AU Mic c;0.0463;18.858991;2020;0.3131;0.1101;9.79;3700.0;Primary Transit;AU Mic
BD+03 2562 b;;481.9;2017;;1.3;2618.0;4095.0;Radial Velocity;BD+03 2562
BD+14 4559 b;;268.94;2009;;0.777;50.0;5008.0;Radial Velocity;BD+14 4559
BD+15 2375 b;;153.22;2016;;0.576;774.0;4649.0;Radial Velocity;BD+15 2375
BD+15 2940 b;;137.48;2013;;0.539;585.0;4796.0;Radial Velocity;BD+15 2940
BD+20 2457 b;;379.63;2009;;1.45;1670.0;4127.0;Radial Velocity;BD+20 2457
BD+20 2457 c;;621.99;2009;;2.01;1670.0;4127.0;Radial Velocity;BD+20 2457
BD+20 274 b;;578.2;2010;;1.3;;4296.0;Default;BD+20 274
BD+20 594 b;0.07;41.6855;2016;0.23;0.241;180.39;5766.0;Primary Transit;BD+20 594
BD+24 4697 b;;145.081;2016;;0.5;44.7922;5077.0;Radial Velocity;BD+24 4697
BD+26 1888 b;;536.78;2016;;1.19;38.0;4748.0;Radial Velocity;BD+26 1888
BD+45 564 b;;307.88;2021;;0.83;53.7;;Radial Velocity;BD+45 564
BD+48 738 b;;392.6;2011;;1.0;;4414.0;Radial Velocity;BD +48 738
BD+48 740 b;;733.0;2012;;1.7;678.933;4534.0;Default;BD+48 740
BD+49 828 b;;2590.0;2015;;4.2;;4943.0;Radial Velocity;BD+49 828
BD+55 362 b;;265.59;2021;;0.78;52.65;;Radial Velocity;BD+55 362
BD+63 1405 b;;1198.48;2021;;2.06;38.09;;Radial Velocity;BD+63 1405
BD-00 4475 b;;723.2;2021;;1.48;42.69;;Radial Velocity;BD-00 4475
BD-06 1339 b;;3.8728;2013;;0.0428;20.0;4324.0;Radial Velocity;BD-06 1339
BD-06 1339 c;;125.94;2013;;0.435;20.0;4324.0;Radial Velocity;BD-06 1339
BD-06 1339 d;;487.0;2014;;1.06;20.0;4324.0;Radial Velocity;BD-06 1339
BD-08 2823 b;;5.6;2009;;0.056;42.2;4746.0;Radial Velocity;BD-08 2823
BD-08 2823 c;;237.6;2009;;0.68;42.2;4746.0;Radial Velocity;BD-08 2823
BD-10 3166 b;;3.4878;2000;1.03;0.046;66.0;5400.0;Radial Velocity;BD-10 3166
BD-11 4672 b;;1634.0;2010;;2.36;27.3;4475.0;Radial Velocity;BD-11 4672
BD-11 4672 c;;74.2;2020;;0.3;27.3;4475.0;Radial Velocity;BD-11 4672
BD-17 63 b;;655.6;2008;;1.34;34.6;4714.0;Radial Velocity;BD-17 63
CD Cet b;0.01244;2.2907;2020;;0.0185;8.609;3130.0;Radial Velocity;CD Cet
beta Cir b;56.0;;2015;;6656.0;30.56;8676.0;Imaging;beta Cir
beta Pic b;11.9;7707.0;2008;1.65;9.93;19.3;;Imaging;beta Pic
CD-35 2722 b;31.0;;2011;;67.0;21.3;3680.0;Imaging;CD-35 2722
CFBD 1458 B;10.5;;2011;;2.6;23.1;;Imaging;
CFBDS 1458 A;24.1;;2010;;;23.1;;Imaging;
CFBDS0059;22.5;;2008;;;13.0;;Imaging;
CI Tau b;11.6;8.9891;2016;;;158.0;;Radial Velocity;CI Tau
CFBDSIR J2149-0403 b;21.0;;2017;;;55.2;;Imaging;CFBDSIR J2149-0403
CHXR 73 b;12.0;;2006;;200.0;;;Imaging;CHXR 73
COCONUTS-2 b;6.4;;2021;1.12;6471.0;10.89;3406.0;Imaging;COCONUTS-2A
CT Cha b;17.0;;2008;2.2;440.0;165.0;;Imaging;CT Cha
Cha Ha 8 b;;1895.0;2007;;1.02;196.76;2967.0;Radial Velocity;Cha Ha 8
CoRoT-1 b;1.03;1.5089557;2007;1.49;0.0254;460.0;6298.0;Primary Transit;CoRoT-1
CoRoT-10 b;2.75;13.2406;2010;0.97;0.1055;345.0;5075.0;Primary Transit;CoRoT-10
CoRoT-11 b;2.33;2.994325;2010;1.43;0.04351;560.0;6343.0;Primary Transit;CoRoT-11
CoRoT-12 b;0.917;2.828042;2010;1.44;0.04016;1150.0;5675.0;Primary Transit;CoRoT-12
CoRoT-13 b;1.308;4.03519;2010;0.885;0.051;1310.0;5945.0;Primary Transit;CoRoT-13
CoRoT-14 b;7.6;1.51214;2010;1.09;0.027;1340.0;6035.0;Primary Transit;CoRoT-14
CoRoT-15 b;63.4;3.06036;2010;1.12;0.045;;;Primary Transit;CoRoT-15
CoRoT-16 b;0.535;5.35227;2010;1.17;0.0618;840.0;5650.0;Primary Transit;CoRoT-16
CoRoT-17 b;2.43;3.768125;2010;1.02;0.0461;920.0;5740.0;Primary Transit;CoRoT-17
CoRoT-18 b;3.47;1.9000693;2011;1.31;0.0295;870.0;5440.0;Primary Transit;CoRoT-18
CoRoT-19 b;1.11;3.89713;2011;1.29;0.0518;800.0;6090.0;Primary Transit;CoRoT-19
CoRoT-2 b;3.31;1.7429964;2007;1.465;0.0281;300.0;5575.0;Primary Transit;CoRoT-2
CoRoT-20 b;4.24;9.24285;2011;0.84;0.0902;1230.0;5880.0;Primary Transit;CoRoT-20
CoRoT-20 c;;1675.0;2018;;2.9;1230.0;5880.0;Radial Velocity;CoRoT-20
CoRoT-21 b;2.26;2.72474;2011;1.3;0.0417;;6200.0;Primary Transit;CoRoT-21
CoRoT-22 b;0.06;9.75598;2011;0.4354;0.092;592.0;5939.0;Primary Transit;CoRoT-22
CoRoT-23 b;2.8;3.6314;2011;1.08;0.0477;600.0;5900.0;Primary Transit;CoRoT-23
CoRoT-24 b;0.018;5.1134;2011;0.33;0.056;600.0;4950.0;Primary Transit;CoRoT-24
CoRoT-24 c;0.088;11.759;2011;0.44;0.098;600.0;4950.0;Primary Transit;CoRoT-24
CoRoT-25 b;0.27;4.86069;2012;1.08;0.0578;1000.0;6040.0;Primary Transit;CoRoT-25
CoRoT-26 b;0.52;4.20474;2012;1.26;0.0526;1670.0;5590.0;Primary Transit;CoRoT-26
CoRoT-27 b;10.39;3.57532;2012;1.007;0.0476;;5900.0;Primary Transit;CoRoT-27
CoRoT-28 b;;5.20851;2012;0.955;0.059;560.0;5150.0;Primary Transit;CoRoT-28
CoRoT-29 b;0.85;2.85057;2012;0.9;0.039;765.0;5260.0;Primary Transit;CoRoT-29
CoRoT-3 b;21.66;4.2567994;2008;1.19;0.057;680.0;6558.0;Primary Transit;CoRoT-3
CoRoT-30 b;2.9;9.06005;2017;1.009;0.0844;960.0;5660.0;Primary Transit;CoRoT-30
CoRoT-31 b;0.84;4.62941;2017;1.46;0.0586;2190.0;5370.0;Primary Transit;CoRoT-31
CoRoT-32 b;0.15;6.71837;2017;0.57;0.071;;5970.0;Primary Transit;CoRoT-32
CoRoT-33 b;59.2;5.819143;2015;1.1;0.0579;;5225.0;Primary Transit;CoRoT-33
CoRoT-4 b;0.72;9.20205;2008;1.19;0.09;;6190.0;Primary Transit;CoRoT-4
CoRoT-5 b;0.467;4.0378962;2008;1.33;0.04947;400.0;6100.0;Primary Transit;CoRoT-5
CoRoT-6 b;2.96;8.886593;2009;1.166;0.0855;;6090.0;Primary Transit;CoRoT-6
CoRoT-7 b;0.0149;0.853585;2009;0.136;0.0172;150.0;5313.0;Primary Transit;CoRoT-7
CoRoT-7 c;0.04266;3.698;2009;;0.046;150.0;5313.0;Radial Velocity;CoRoT-7
CoRoT-8 b;0.2158;6.21229;2010;0.5692;0.063;380.0;5080.0;Primary Transit;CoRoT-8
CoRoT-9 b;0.84;95.273804;2010;0.94;0.407;460.0;5625.0;Primary Transit;CoRoT-9
DE CVn b;;4098.1;2018;;5.75;;;TTV;DE CVn
DE0630-18 (bc);53.0;;2020;;;20.0;;Astrometry;
DE0630-18 a;58.0;;2008;;;20.0;;Astrometry;
DENIS-P J082303.1-491201 b;28.5;246.36;2013;;0.36;20.77;;Astrometry;DENIS-P J082303.1-491201
CWISEP J144606.62-231717.8;11.0;;2019;;;10.1;;Imaging;
DP Leo (AB) b;6.05;10230.0;2009;;8.19;;;Timing;DP Leo (AB)
DS Tuc A b;0.088;8.138268;2019;0.5085;0.0795;44.12;5597.0;Primary Transit;DS Tuc A
