name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff
11 Oph b;21.0;730000.0;2007;1;243.0;145.0;2375.0
14 Her b;9.1;1763.3;2002;;2.845;18.1;5311.0
14 Her c;6.9;52596.0;2006;1;27.4;18.1;5311.0
2M 1938+46 b;1.9;416.0;2015;1;0.92;;
2M 2140+16 b;20.0;7340.0;2010;0.92;3.53;25.0;2300.0
2M 2206-20 b;30.0;8686.0;2010;1.3;4.48;26.67;2350.0
2M1059-21 b;66.95;690.0;2020;;0.8;31.81;
2M1510A a;40.0;20.902;2020;1.57;0.063;36.6;
2M1510A b;39.3;20.902;2020;1.57;0.063;36.6;
2MASS J00413538-5621127 B;15.0;126.0;2010;;8.9;34.7133;
2MASS J06023447-0034369 b;1.1;3.0525;2021;1.3;;;
2MASS J15344984-2952274 B;28.2;5550.0;2008;;2.3;15.9;
51 Eri b;2.6;10260.0;2015;1.11;11.1;29.4;
51 Peg b;0.47;4.2308;1995;1.9;0.052;14.7;5793.0
55 Cnc b;0.84;14.65314;1996;;0.11339;12.34;5196.0
55 Cnc e;0.02703;0.7365478;2004;0.1737;0.015439;12.34;5196.0
AD 3116 b;54.2;1.982796;2017;1.02;;186.54;3200.0
ASASSN-16kr b;42.0;0.061285932;2021;1.05;0.003;160.5;
ASASSN-17jf b;60.0;0.0567904;2021;1.12;0.0026;286.0;
AU Mic b;0.053;8.462991;2020;0.3908;0.0645;9.79;3700.0
AU Mic c;0.0463;18.858991;2020;0.3131;0.1101;9.79;3700.0
BD+20 594 b;0.07;41.6855;2016;0.23;0.241;180.39;5766.0
CD Cet b;0.01244;2.2907;2020;;0.0185;8.609;3130.0
CI Tau b;11.6;8.9891;2016;;;158.0;
CoRoT-1 b;1.03;1.5089557;2007;1.49;0.0254;460.0;6298.0
CoRoT-10 b;2.75;13.2406;2010;0.97;0.1055;345.0;5075.0
CoRoT-11 b;2.33;2.994325;2010;1.43;0.04351;560.0;6343.0
CoRoT-12 b;0.917;2.828042;2010;1.44;0.04016;1150.0;5675.0
CoRoT-13 b;1.308;4.03519;2010;0.885;0.051;1310.0;5945.0
CoRoT-14 b;7.6;1.51214;2010;1.09;0.027;1340.0;6035.0
CoRoT-15 b;63.4;3.06036;2010;1.12;0.045;;
CoRoT-16 b;0.535;5.35227;2010;1.17;0.0618;840.0;5650.0
CoRoT-17 b;2.43;3.768125;2010;1.02;0.0461;920.0;5740.0
CoRoT-18 b;3.47;1.9000693;2011;1.31;0.0295;870.0;5440.0
CoRoT-19 b;1.11;3.89713;2011;1.29;0.0518;800.0;6090.0
CoRoT-2 b;3.31;1.7429964;2007;1.465;0.0281;300.0;5575.0
CoRoT-20 b;4.24;9.24285;2011;0.84;0.0902;1230.0;5880.0
CoRoT-21 b;2.26;2.72474;2011;1.3;0.0417;;6200.0
CoRoT-22 b;0.06;9.75598;2011;0.4354;0.092;592.0;5939.0
CoRoT-23 b;2.8;3.6314;2011;1.08;0.0477;600.0;5900.0
CoRoT-24 b;0.018;5.1134;2011;0.33;0.056;600.0;4950.0
